claim,method,hessian,d,param,eta_op,eta_formula,bound_lo,bound_hi,rho_at_formula,rel_err,bound_ok,mc_eta
1,ZO-GD,random_dense_d40_decay,40,nan,0.4663932530080556,0.46639325300807444,0.3841242587768306,0.623704155019866,1.000000000000005,4.034852594034119e-14,True,nan
1,ZO-GD,random_dense_d40_two_group,40,nan,0.08727249460877205,0.08727249460874391,0.08695652173913042,0.09523809523809523,1.000000000000003,3.224859539127684e-13,True,nan
1,ZO-GD,random_dense_d40_linear,40,nan,0.09275929000021653,0.09275929000022633,0.0900900900900901,0.09900990099009901,1.0,1.0562519605629905e-13,True,nan
1,ZO-GD,random_dense_d40_uniform,40,nan,0.0476190476190481,0.04761904761904762,0.04761904761904763,0.05000000000000001,1.0000000000000013,1.0054457266761572e-14,True,nan
1,ZO-GD,random_dense_d100_decay,100,nan,0.43727390922464315,0.43727390922469894,0.3569495216021843,0.5550878719374214,1.0000000000000016,1.2758297673494706e-13,True,nan
1,ZO-GD,random_dense_d100_two_group,100,nan,0.0367562308531919,0.036756230853173075,0.03669724770642202,0.0380952380952381,0.999999999999997,5.121640256450608e-13,True,nan
1,ZO-GD,random_dense_d100_linear,100,nan,0.03857695764934462,0.03857695764938737,0.03809523809523809,0.0396039603960396,1.000000000000002,1.1081880984632633e-12,True,nan
1,ZO-GD,random_dense_d100_uniform,100,nan,0.01960784313725491,0.019607843137254916,0.01960784313725491,0.020000000000000007,0.9999999999999972,3.538835890992684e-16,True,nan
1,ZO-GD,random_dense_d200_decay,200,nan,0.4195310081956619,0.4195310081951526,0.3413210480814944,0.5181903066544684,1.0000000000000036,1.2140099363284093e-12,True,nan
1,ZO-GD,random_dense_d200_two_group,200,nan,0.01870713880607294,0.01870713880604405,0.018691588785046728,0.01904761904761905,1.0000000000000253,1.5443347627047975e-12,True,nan
1,ZO-GD,random_dense_d200_linear,200,nan,0.019542906900363578,0.01954290690036757,0.019417475728155345,0.01980198019801981,1.000000000000004,2.043367172579378e-13,True,nan
1,ZO-GD,random_dense_d200_uniform,200,nan,0.009900990098877755,0.009900990099009905,0.009900990099009901,0.01,1.000000000000009,1.3347099467320151e-11,True,nan
1,ZO-GD,diag_decay_d200,200,nan,0.4660903870676738,0.4660903870680182,0.3807809589575849,0.614937419102237,1.0000000000000109,7.3889355325508e-13,True,nan
2,ZO-GDM,random_dense_d40_decay,40,0.0,0.466393253008071,0.4663932530080744,0.38412425877683054,0.623704155019866,1.0000000000000016,7.260354225253135e-15,True,nan
2,ZO-GDM,random_dense_d40_decay,40,0.3,0.3501609957739929,0.35016099577543547,0.2950405755412098,0.43659290851390614,1.0000000000000024,4.119728651822324e-12,True,nan
2,ZO-GDM,random_dense_d40_decay,40,0.6,0.20892050034042609,0.20892050034048237,0.17950708879668759,0.2494816620079464,1.0000000000000004,2.694245287406508e-13,True,nan
2,ZO-GDM,random_dense_d40_decay,40,0.9,0.05377556768981958,0.05377556768981981,0.04695629209075882,0.06237041550198658,1.000000000000007,4.2581326179525785e-15,True,nan
2,ZO-GDM,random_dense_d40_two_group,40,0.0,0.08727249460822949,0.08727249460874391,0.08695652173913042,0.09523809523809523,0.9999999999999987,5.8944326132339744e-12,True,nan
2,ZO-GDM,random_dense_d40_two_group,40,0.3,0.062296414623678936,0.062296414623697866,0.06211604095563139,0.06666666666666667,0.9999999999999946,3.0385861986121617e-13,True,nan
