claim,method,hessian,d,param,eta_op,eta_formula,bound_lo,bound_hi,rho_at_formula,rel_err,bound_ok,mc_eta
1,ZO-GD,random_dense_d40_decay,40,nan,0.466393253008079,0.46639325300807427,0.3841242587768305,0.6237041550198658,1.0000000000000009,1.0116887035188798e-14,True,nan
1,ZO-GD,random_dense_d40_two_group,40,nan,0.08727249460877635,0.08727249460874392,0.08695652173913043,0.09523809523809523,1.0000000000000042,3.716221273639742e-13,True,nan
1,ZO-GD,random_dense_d40_linear,40,nan,0.09275929000021801,0.0927592900002263,0.09009009009009006,0.09900990099009897,0.9999999999999999,8.931762329406595e-14,True,nan
1,ZO-GD,random_dense_d40_uniform,40,nan,0.04761904761904825,0.047619047619047616,0.047619047619047616,0.05,1.0000000000000013,1.3260226250366713e-14,True,nan
1,ZO-GD,random_dense_d100_decay,100,nan,0.43727390922460346,0.43727390922469894,0.3569495216021844,0.5550878719374215,1.000000000000001,2.1835096515831736e-13,True,nan
1,ZO-GD,random_dense_d100_two_group,100,nan,0.036756230853176725,0.03675623085317307,0.03669724770642202,0.0380952380952381,0.99999999999999,9.948781478619503e-14,True,nan
1,ZO-GD,random_dense_d100_linear,100,nan,0.03857695764934485,0.03857695764938738,0.0380952380952381,0.03960396039603961,1.0000000000000009,1.1024322115697678e-12,True,nan
1,ZO-GD,random_dense_d100_uniform,100,nan,0.0196078431372549,0.01960784313725491,0.0196078431372549,0.02,0.999999999999997,3.5388358909926855e-16,True,nan
1,ZO-GD,random_dense_d200_decay,200,nan,0.4195310081948644,0.41953100819515277,0.34132104808149444,0.5181903066544685,0.9999999999999942,6.873876424224615e-13,True,nan
1,ZO-GD,random_dense_d200_two_group,200,nan,0.01870713880606011,0.01870713880604405,0.01869158878504673,0.01904761904761905,1.000000000000029,8.584995336328218e-13,True,nan
1,ZO-GD,random_dense_d200_linear,200,nan,0.019542906900372473,0.019542906900367567,0.01941747572815534,0.019801980198019806,0.9999999999999978,2.510270357973276e-13,True,nan
1,ZO-GD,random_dense_d200_uniform,200,nan,0.009900990098877365,0.009900990099009903,0.009900990099009905,0.010000000000000004,1.000000000000009,1.3386345851240652e-11,True,nan
1,ZO-GD,diag_decay_d200,200,nan,0.4660903870676738,0.4660903870680182,0.3807809589575849,0.614937419102237,1.0000000000000109,7.3889355325508e-13,True,nan
