t,loss,trace,lmax,thr
0,6.317880e-01,2.283293e+00,1.253425e+00,1.333333e+02
200,3.718046e-01,4.965047e+00,1.378892e+00,1.333333e+02
400,3.603404e-01,7.978918e+00,1.729365e+00,1.333333e+02
600,3.432981e-01,2.034108e+01,5.773668e+00,1.333333e+02
800,3.372933e-01,1.606566e+01,7.199062e+00,1.333333e+02
