t,loss,trace,lmax,thr
0,6.317880e-01,2.283293e+00,1.253425e+00,2.500000e+02
200,3.806469e-01,4.620852e+00,1.272440e+00,2.500000e+02
400,3.741747e-01,4.549437e+00,1.271956e+00,2.500000e+02
600,3.724626e-01,5.553854e+00,1.279477e+00,2.500000e+02
800,3.701802e-01,4.805961e+00,1.330124e+00,2.500000e+02
