t,loss,trace,lmax,thr
0,6.317880e-01,2.283293e+00,1.253425e+00,4.000000e+01
200,nan,nan,nan,4.000000e+01
400,nan,nan,nan,4.000000e+01
600,nan,nan,nan,4.000000e+01
800,nan,nan,nan,4.000000e+01
