t,loss,trace,lmax,thr
0,6.317880e-01,2.283293e+00,1.253425e+00,6.666667e+02
200,4.368373e-01,5.205750e+00,1.234895e+00,6.666667e+02
400,3.884387e-01,4.222234e+00,1.241593e+00,6.666667e+02
600,3.781952e-01,4.327811e+00,1.252679e+00,6.666667e+02
800,3.760752e-01,4.269634e+00,1.276476e+00,6.666667e+02
